Metsävarakuvioiden ja erityisen tärkeiden elinympäristökuvioiden koodisto- taulukko solusta A2 soluun G4464;;;;;;;
Koodisto;Kenttä;Koodi;Selite_FI;Selite_SE;Selite_ENG;Selite_LATINA;
664_667;operationtype;206;Harmaalepän kylvö;Sådd av gråal;Planting of seeds, grey alder;;
664_667;operationtype;207;Tervalepän kylvö;Sådd av klibbal;Planting of seeds, black alder;;
664_667;operationtype;208;Muun havupuun kylvö;Sådd av övriga barrträd;Planting of seeds, other coniferous tree;;
664_667;operationtype;209;Muun lehtipuun kylvö;Sådd av övriga lövträd;Planting of seeds, other deciduous tree;;
664_667;operationtype;210;Douglaskuusen kylvö;Sådd av douglasgran;Planting of seeds, oregon pine;;
664_667;operationtype;211;Katajan kylvö;Sådd av en;Planting of seeds, common juniper;;
664_667;operationtype;212;Kontortamännyn kylvö;Sådd av contortatall;Planting of seeds, contorta pine;;
664_667;operationtype;213;Kynäjalavan kylvö;Sådd av vresalm;Planting of seeds, european white elm;;
664_667;operationtype;214;Lehtikuusen kylvö;Sådd av lärkträd;Planting of seeds, larch;;
664_667;operationtype;215;Metsälehmuksen kylvö;Sådd av skogslind;Planting of seeds, small-leaved lime;;
664_667;operationtype;216;Mustakuusen kylvö;Sådd av svartgran;Planting of seeds, black spruce;;
664_667;operationtype;217;Pajun kylvö;Sådd av vide;Planting of seeds, willow;;
664_667;operationtype;218;Pihlajan kylvö;Sådd av rönn;Planting of seeds, rowan;;
664_667;operationtype;219;Pihdan kylvö;Sådd av pichtagran;Planting of seeds, fir;;
664_667;operationtype;220;Raidan kylvö;Sådd av sälg;Planting of seeds, goat willow;;
664_667;operationtype;221;Saarnen kylvö;Sådd av ask;Planting of seeds, ash;;
664_667;operationtype;222;Sembramännyn kylvö;Sådd av cembratall;Planting of seeds, swiss pine;;
664_667;operationtype;223;Serbiankuusen kylvö;Sådd av omorikagran;Planting of seeds, serbian spruce;;
664_667;operationtype;224;Tammen kylvö;Sådd av ek;Planting of seeds, oak;;
664_667;operationtype;225;Tuomen kylvö;Sådd av hägg;Planting of seeds, bird cherry;;
664_667;operationtype;226;Vaahteran kylvö;Sådd av lönn;Planting of seeds, maple;;
664_667;operationtype;227;Visakoivun kylvö;Sådd av masurbjörk;Planting of seeds, curly birch;;
664_667;operationtype;228;Vuorijalavan kylvö;Sådd av skogsalm;Planting of seeds, scots elm;;
664_667;operationtype;300;Istutus;Plantering;Planting of seedlings;;
664_667;operationtype;301;Männyn istutus;Plantering av tall;Planting of seedlings, pine;;
664_667;operationtype;302;Kuusen istutus;Plantering av gran;Planting of seedlings, spruce;;
664_667;operationtype;303;Rauduskoivun istutus;Plantering av vårtbjörk;Planting of seedlings, silver birch;;
664_667;operationtype;304;Hieskoivun istutus;Plantering av glasbjörk;Planting of seedlings, downy birch;;
664_667;operationtype;305;Haavan istutus;Plantering av asp;Planting of seedlings, asp;;
664_667;operationtype;306;Harmaalepän istutus;Plantering av gråal;Planting of seedlings, grey alder;;
664_667;operationtype;307;Tervalepän istutus;Plantering av klibbal;Planting of seedlings, black alder;;
664_667;operationtype;308;Muun havupuun istutus;Plantering av övriga barrträd;Planting of seedlings, other coniferous tree;;
664_667;operationtype;309;Muun lehtipuun istutus;Plantering av övriga lövträd;Planting of seedlings, other deciduous tree;;
